,u2-width,u2-height,u2-type
udc-vault/T101389/scenario1/raw/000ec980b5b17156a55093b4bd6004ab.jpg,1000,551,Be200
udc-vault/T101389/scenario1/raw/00afb4420bdce881ad216867c713c800.jpg,1200,800,Mig31
udc-vault/T101389/scenario1/raw/00b2add164cb42440a52064e390ea3d2.jpg,1280,850,B1
udc-vault/T101389/scenario1/raw/00b627cb5578bb036edb01cdcf7b56d9.jpg,1300,867,F35
udc-vault/T101389/scenario1/raw/00c09f406d31a0cd9402862fbd26d930.jpg,1800,1200,A10
udc-vault/T101389/scenario1/raw/00c54e200e0d868faac8c55bfca70dbe.jpg,1200,1200,V22
udc-vault/T101389/scenario1/raw/00d4b7ea93ca1417393007c61c519f88.jpg,1200,675,A10
udc-vault/T101389/scenario1/raw/00db76f676528477c66c93c7d24d7524.jpg,1280,857,F117
udc-vault/T101389/scenario1/raw/00ebecac178be3c3890a067d6a28234e.jpg,960,640,C5
udc-vault/T101389/scenario1/raw/00f4279089ddc0d40e1470894f827f2e.jpg,2048,1365,C5
udc-vault/T101389/scenario1/raw/0a2a11a8658d69b6cd1fd23c5f4513bd.jpg,960,640,Tu160
